device,storage,scenario,implementation,scheduler_threads,experiment,elapsed_time(ms),operations per client,buckets,clients,keys per bucket,keys total
omen,dict,read-only,central,11,24,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,11,25,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,11,26,293.0,1000,1000,100,100,100000
omen,dict,read-only,central,11,27,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,11,28,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,11,29,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,11,30,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,1,305.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,2,306.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,3,286.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,4,291.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,5,297.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,6,290.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,7,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,8,275.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,9,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,10,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,11,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,12,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,13,277.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,14,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,15,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,16,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,17,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,18,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,19,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,20,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,21,291.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,22,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,23,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,24,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,25,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,26,302.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,27,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,28,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,29,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,12,30,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,1,300.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,2,307.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,3,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,4,288.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,5,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,6,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,7,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,8,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,9,288.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,10,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,11,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,12,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,13,298.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,14,312.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,15,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,16,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,17,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,18,291.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,19,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,20,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,21,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,22,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,23,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,24,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,25,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,26,298.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,27,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,28,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,29,292.0,1000,1000,100,100,100000
omen,dict,read-only,central,13,30,277.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,1,326.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,2,315.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,3,293.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,4,293.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,5,289.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,6,296.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,7,295.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,8,295.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,9,291.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,10,291.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,11,288.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,12,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,13,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,14,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,15,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,16,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,17,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,18,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,19,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,20,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,21,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,22,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,23,277.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,24,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,25,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,26,294.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,27,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,28,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,29,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,14,30,274.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,1,304.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,2,307.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,3,297.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,4,300.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,5,295.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,6,294.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,7,299.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,8,297.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,9,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,10,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,11,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,12,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,13,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,14,291.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,15,300.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,16,294.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,17,293.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,18,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,19,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,20,286.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,21,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,22,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,23,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,24,286.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,25,277.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,26,302.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,27,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,28,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,29,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,15,30,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,1,301.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,2,306.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,3,290.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,4,291.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,5,293.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,6,276.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,7,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,8,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,9,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,10,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,11,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,12,288.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,13,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,14,288.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,15,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,16,298.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,17,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,18,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,19,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,20,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,21,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,22,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,23,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,24,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,25,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,26,295.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,27,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,28,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,29,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,16,30,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,1,303.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,2,298.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,3,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,4,293.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,5,292.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,6,297.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,7,295.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,8,292.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,9,296.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,10,291.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,11,294.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,12,290.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,13,277.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,14,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,15,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,16,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,17,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,18,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,19,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,20,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,21,290.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,22,274.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,23,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,24,299.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,25,273.0,1000,1000,100,100,100000
