device,storage,scenario,implementation,scheduler_threads,elapsed_time(ms)
omen,dict,rw,central,58,61.0
omen,dict,rw,central,59,60.0
omen,dict,rw,central,6,61.0
omen,dict,rw,central,60,61.0
omen,dict,rw,central,61,60.0
omen,dict,rw,central,62,60.0
omen,dict,rw,central,63,60.0
omen,dict,rw,central,64,61.0
omen,dict,rw,central,7,60.0
omen,dict,rw,central,8,61.0
omen,dict,rw,central,9,61.0
omen,dict,rw,shard,1,54.0
omen,dict,rw,shard,10,66.0
omen,dict,rw,shard,11,56.0
omen,dict,rw,shard,12,54.0
omen,dict,rw,shard,13,55.0
omen,dict,rw,shard,14,57.0
omen,dict,rw,shard,15,55.0
omen,dict,rw,shard,16,57.0
omen,dict,rw,shard,17,54.0
omen,dict,rw,shard,18,54.0
omen,dict,rw,shard,19,54.0
omen,dict,rw,shard,2,53.0
omen,dict,rw,shard,20,55.0
omen,dict,rw,shard,21,54.0
omen,dict,rw,shard,22,55.0
omen,dict,rw,shard,23,55.0
omen,dict,rw,shard,24,55.0
omen,dict,rw,shard,25,54.0
omen,dict,rw,shard,26,59.0
omen,dict,rw,shard,27,54.0
omen,dict,rw,shard,28,57.0
omen,dict,rw,shard,29,55.0
omen,dict,rw,shard,3,53.0
omen,dict,rw,shard,30,56.0
omen,dict,rw,shard,31,54.0
omen,dict,rw,shard,32,55.0
omen,dict,rw,shard,33,54.0
omen,dict,rw,shard,34,54.0
omen,dict,rw,shard,35,54.0
omen,dict,rw,shard,36,55.0
omen,dict,rw,shard,37,54.0
omen,dict,rw,shard,38,55.0
omen,dict,rw,shard,39,55.0
omen,dict,rw,shard,4,54.0
omen,dict,rw,shard,40,55.0
omen,dict,rw,shard,41,55.0
omen,dict,rw,shard,42,56.0
omen,dict,rw,shard,43,54.0
omen,dict,rw,shard,44,54.0
omen,dict,rw,shard,45,54.0
omen,dict,rw,shard,46,55.0
omen,dict,rw,shard,47,55.0
omen,dict,rw,shard,48,56.0
omen,dict,rw,shard,49,55.0
omen,dict,rw,shard,5,56.0
omen,dict,rw,shard,50,54.0
omen,dict,rw,shard,51,55.0
omen,dict,rw,shard,52,56.0
omen,dict,rw,shard,53,56.0
omen,dict,rw,shard,54,56.0
omen,dict,rw,shard,55,55.0
omen,dict,rw,shard,56,56.0
omen,dict,rw,shard,57,55.0
omen,dict,rw,shard,58,57.0
omen,dict,rw,shard,59,55.0
omen,dict,rw,shard,6,54.0
omen,dict,rw,shard,60,56.0
omen,dict,rw,shard,61,56.0
omen,dict,rw,shard,62,56.0
omen,dict,rw,shard,63,55.0
omen,dict,rw,shard,64,58.0
omen,dict,rw,shard,7,54.0
omen,dict,rw,shard,8,53.0
omen,dict,rw,shard,9,54.0
omen,dict,rw,work,1,53.0
omen,dict,rw,work,10,57.0
omen,dict,rw,work,11,53.0
omen,dict,rw,work,12,60.0
omen,dict,rw,work,13,54.0
omen,dict,rw,work,14,54.0
omen,dict,rw,work,15,55.0
omen,dict,rw,work,16,55.0
omen,dict,rw,work,17,54.0
omen,dict,rw,work,18,54.0
omen,dict,rw,work,19,55.0
omen,dict,rw,work,2,54.0
omen,dict,rw,work,20,56.0
omen,dict,rw,work,21,57.0
omen,dict,rw,work,22,54.0
omen,dict,rw,work,23,56.0
omen,dict,rw,work,24,55.0
omen,dict,rw,work,25,56.0
omen,dict,rw,work,26,65.0
omen,dict,rw,work,27,55.0
omen,dict,rw,work,28,56.0
omen,dict,rw,work,29,55.0
omen,dict,rw,work,3,54.0
omen,dict,rw,work,30,56.0
omen,dict,rw,work,31,54.0
omen,dict,rw,work,32,54.0
omen,dict,rw,work,33,55.0
omen,dict,rw,work,34,55.0
omen,dict,rw,work,35,56.0
omen,dict,rw,work,36,54.0
omen,dict,rw,work,37,55.0
omen,dict,rw,work,38,55.0
omen,dict,rw,work,39,55.0
omen,dict,rw,work,4,55.0
omen,dict,rw,work,40,55.0
omen,dict,rw,work,41,55.0
omen,dict,rw,work,42,54.0
omen,dict,rw,work,43,56.0
omen,dict,rw,work,44,58.0
omen,dict,rw,work,45,55.0
omen,dict,rw,work,46,55.0
omen,dict,rw,work,47,56.0
omen,dict,rw,work,48,58.0
omen,dict,rw,work,49,55.0
omen,dict,rw,work,5,54.0
omen,dict,rw,work,50,55.0
omen,dict,rw,work,51,54.0
omen,dict,rw,work,52,55.0
omen,dict,rw,work,53,55.0
omen,dict,rw,work,54,56.0
omen,dict,rw,work,55,54.0
omen,dict,rw,work,56,55.0
omen,dict,rw,work,57,55.0
omen,dict,rw,work,58,57.0
omen,dict,rw,work,59,55.0
omen,dict,rw,work,6,55.0
omen,dict,rw,work,60,56.0
omen,dict,rw,work,61,56.0
omen,dict,rw,work,62,56.0
omen,dict,rw,work,63,57.0
omen,dict,rw,work,64,55.0
omen,dict,rw,work,7,55.0
omen,dict,rw,work,8,58.0
omen,dict,rw,work,9,54.0
omen,dict,mix,central,1,61.0
omen,dict,mix,central,10,60.0
omen,dict,mix,central,11,60.0
omen,dict,mix,central,12,60.0
omen,dict,mix,central,13,59.0
omen,dict,mix,central,14,59.0
omen,dict,mix,central,15,60.0
omen,dict,mix,central,16,61.0
omen,dict,mix,central,17,60.0
omen,dict,mix,central,18,59.0
omen,dict,mix,central,19,59.0
omen,dict,mix,central,2,59.0
omen,dict,mix,central,20,60.0
omen,dict,mix,central,21,60.0
omen,dict,mix,central,22,61.0
omen,dict,mix,central,23,61.0
omen,dict,mix,central,24,59.0
omen,dict,mix,central,25,61.0
omen,dict,mix,central,26,61.0
omen,dict,mix,central,27,60.0
omen,dict,mix,central,28,60.0
omen,dict,mix,central,29,61.0
omen,dict,mix,central,3,60.0
omen,dict,mix,central,30,59.0
omen,dict,mix,central,31,60.0
omen,dict,mix,central,32,61.0
omen,dict,mix,central,33,59.0
omen,dict,mix,central,34,60.0
omen,dict,mix,central,35,61.0
omen,dict,mix,central,36,60.0
omen,dict,mix,central,37,60.0
omen,dict,mix,central,38,59.0
omen,dict,mix,central,39,59.0
omen,dict,mix,central,4,58.0
omen,dict,mix,central,40,61.0
omen,dict,mix,central,41,62.0
omen,dict,mix,central,42,61.0
omen,dict,mix,central,43,61.0
omen,dict,mix,central,44,60.0
omen,dict,mix,central,45,61.0
omen,dict,mix,central,46,59.0
omen,dict,mix,central,47,62.0
omen,dict,mix,central,48,61.0
omen,dict,mix,central,49,60.0
omen,dict,mix,central,5,60.0
omen,dict,mix,central,50,60.0
omen,dict,mix,central,51,62.0
omen,dict,mix,central,52,60.0
omen,dict,mix,central,53,60.0
omen,dict,mix,central,54,60.0
omen,dict,mix,central,55,60.0
omen,dict,mix,central,56,62.0
omen,dict,mix,central,57,59.0
omen,dict,mix,central,58,61.0
omen,dict,mix,central,59,61.0
omen,dict,mix,central,6,61.0
omen,dict,mix,central,60,61.0
omen,dict,mix,central,61,61.0
omen,dict,mix,central,62,60.0
omen,dict,mix,central,63,60.0
omen,dict,mix,central,64,60.0
omen,dict,mix,central,7,60.0
omen,dict,mix,central,8,60.0
omen,dict,mix,central,9,59.0
omen,dict,mix,shard,1,52.0
omen,dict,mix,shard,10,55.0
omen,dict,mix,shard,11,54.0
omen,dict,mix,shard,12,55.0
omen,dict,mix,shard,13,55.0
omen,dict,mix,shard,14,54.0
omen,dict,mix,shard,15,54.0
omen,dict,mix,shard,16,54.0
omen,dict,mix,shard,17,53.0
omen,dict,mix,shard,18,54.0
omen,dict,mix,shard,19,54.0
omen,dict,mix,shard,2,54.0
omen,dict,mix,shard,20,54.0
omen,dict,mix,shard,21,54.0
omen,dict,mix,shard,22,54.0
omen,dict,mix,shard,23,55.0
omen,dict,mix,shard,24,56.0
omen,dict,mix,shard,25,54.0
omen,dict,mix,shard,26,59.0
omen,dict,mix,shard,27,56.0
omen,dict,mix,shard,28,54.0
omen,dict,mix,shard,29,55.0
omen,dict,mix,shard,3,53.0
omen,dict,mix,shard,30,54.0
omen,dict,mix,shard,31,54.0
omen,dict,mix,shard,32,54.0
omen,dict,mix,shard,33,54.0
omen,dict,mix,shard,34,55.0
omen,dict,mix,shard,35,55.0
omen,dict,mix,shard,36,54.0
omen,dict,mix,shard,37,55.0
omen,dict,mix,shard,38,55.0
omen,dict,mix,shard,39,55.0
omen,dict,mix,shard,4,54.0
omen,dict,mix,shard,40,56.0
omen,dict,mix,shard,41,55.0
omen,dict,mix,shard,42,54.0
omen,dict,mix,shard,43,55.0
omen,dict,mix,shard,44,56.0
omen,dict,mix,shard,45,55.0
omen,dict,mix,shard,46,55.0
omen,dict,mix,shard,47,55.0
omen,dict,mix,shard,48,54.0
omen,dict,mix,shard,49,55.0
omen,dict,mix,shard,5,53.0
omen,dict,mix,shard,50,55.0
omen,dict,mix,shard,51,56.0
omen,dict,mix,shard,52,55.0
omen,dict,mix,shard,53,55.0
omen,dict,mix,shard,54,178.0
omen,dict,mix,shard,55,56.0
omen,dict,mix,shard,56,55.0
omen,dict,mix,shard,57,55.0
omen,dict,mix,shard,58,55.0
omen,dict,mix,shard,59,55.0
omen,dict,mix,shard,6,53.0
omen,dict,mix,shard,60,55.0
omen,dict,mix,shard,61,56.0
omen,dict,mix,shard,62,55.0
omen,dict,mix,shard,63,55.0
omen,dict,mix,shard,64,55.0
omen,dict,mix,shard,7,55.0
omen,dict,mix,shard,8,55.0
omen,dict,mix,shard,9,53.0
omen,dict,mix,work,1,53.0
omen,dict,mix,work,10,56.0
omen,dict,mix,work,11,54.0
omen,dict,mix,work,12,54.0
omen,dict,mix,work,13,54.0
omen,dict,mix,work,14,53.0
omen,dict,mix,work,15,55.0
omen,dict,mix,work,16,55.0
omen,dict,mix,work,17,56.0
omen,dict,mix,work,18,54.0
omen,dict,mix,work,19,55.0
omen,dict,mix,work,2,54.0
omen,dict,mix,work,20,53.0
omen,dict,mix,work,21,56.0
omen,dict,mix,work,22,55.0
omen,dict,mix,work,23,53.0
omen,dict,mix,work,24,56.0
omen,dict,mix,work,25,56.0
omen,dict,mix,work,26,55.0
omen,dict,mix,work,27,56.0
omen,dict,mix,work,28,55.0
omen,dict,mix,work,29,55.0
omen,dict,mix,work,3,53.0
omen,dict,mix,work,30,55.0
omen,dict,mix,work,31,56.0
omen,dict,mix,work,32,54.0
omen,dict,mix,work,33,55.0
omen,dict,mix,work,34,54.0
omen,dict,mix,work,35,56.0
omen,dict,mix,work,36,54.0
omen,dict,mix,work,37,54.0
omen,dict,mix,work,38,56.0
omen,dict,mix,work,39,54.0
omen,dict,mix,work,4,54.0
omen,dict,mix,work,40,56.0
omen,dict,mix,work,41,54.0
omen,dict,mix,work,42,54.0
omen,dict,mix,work,43,54.0
omen,dict,mix,work,44,54.0
omen,dict,mix,work,45,56.0
omen,dict,mix,work,46,53.0
omen,dict,mix,work,47,55.0
omen,dict,mix,work,48,57.0
omen,dict,mix,work,49,56.0
omen,dict,mix,work,5,54.0
omen,dict,mix,work,50,55.0
omen,dict,mix,work,51,56.0
omen,dict,mix,work,52,54.0
omen,dict,mix,work,53,55.0
omen,dict,mix,work,54,59.0
omen,dict,mix,work,55,55.0
omen,dict,mix,work,56,54.0
omen,dict,mix,work,57,56.0
omen,dict,mix,work,58,56.0
omen,dict,mix,work,59,55.0
omen,dict,mix,work,6,55.0
omen,dict,mix,work,60,56.0
omen,dict,mix,work,61,56.0
omen,dict,mix,work,62,56.0
omen,dict,mix,work,63,55.0
omen,dict,mix,work,64,56.0
omen,dict,mix,work,7,55.0
omen,dict,mix,work,8,54.0
omen,dict,mix,work,9,54.0
