device,storage,scenario,implementation,scheduler_threads,elapsed_time(ms)
omen,maps,r,work,47,43.0
omen,maps,r,work,48,44.0
omen,maps,r,work,49,44.0
omen,maps,r,work,5,43.0
omen,maps,r,work,50,43.0
omen,maps,r,work,51,44.0
omen,maps,r,work,52,44.0
omen,maps,r,work,53,44.0
omen,maps,r,work,54,43.0
omen,maps,r,work,55,44.0
omen,maps,r,work,56,44.0
omen,maps,r,work,57,46.0
omen,maps,r,work,58,45.0
omen,maps,r,work,59,44.0
omen,maps,r,work,6,44.0
omen,maps,r,work,60,43.0
omen,maps,r,work,61,43.0
omen,maps,r,work,62,44.0
omen,maps,r,work,63,44.0
omen,maps,r,work,64,44.0
omen,maps,r,work,7,42.0
omen,maps,r,work,8,43.0
omen,maps,r,work,9,42.0
omen,maps,rw,central,1,59.0
omen,maps,rw,central,10,60.0
omen,maps,rw,central,11,60.0
omen,maps,rw,central,12,61.0
omen,maps,rw,central,13,61.0
omen,maps,rw,central,14,60.0
omen,maps,rw,central,15,60.0
omen,maps,rw,central,16,60.0
omen,maps,rw,central,17,60.0
omen,maps,rw,central,18,62.0
omen,maps,rw,central,19,61.0
omen,maps,rw,central,2,59.0
omen,maps,rw,central,20,60.0
omen,maps,rw,central,21,61.0
omen,maps,rw,central,22,61.0
omen,maps,rw,central,23,60.0
omen,maps,rw,central,24,61.0
omen,maps,rw,central,25,62.0
omen,maps,rw,central,26,60.0
omen,maps,rw,central,27,60.0
omen,maps,rw,central,28,60.0
omen,maps,rw,central,29,60.0
omen,maps,rw,central,3,60.0
omen,maps,rw,central,30,59.0
omen,maps,rw,central,31,60.0
omen,maps,rw,central,32,61.0
omen,maps,rw,central,33,61.0
omen,maps,rw,central,34,60.0
omen,maps,rw,central,35,61.0
omen,maps,rw,central,36,59.0
omen,maps,rw,central,37,61.0
omen,maps,rw,central,38,59.0
omen,maps,rw,central,39,60.0
omen,maps,rw,central,4,60.0
omen,maps,rw,central,40,60.0
omen,maps,rw,central,41,62.0
omen,maps,rw,central,42,60.0
omen,maps,rw,central,43,59.0
omen,maps,rw,central,44,61.0
omen,maps,rw,central,45,61.0
omen,maps,rw,central,46,59.0
omen,maps,rw,central,47,61.0
omen,maps,rw,central,48,60.0
omen,maps,rw,central,49,62.0
omen,maps,rw,central,5,60.0
omen,maps,rw,central,50,61.0
omen,maps,rw,central,51,60.0
omen,maps,rw,central,52,61.0
omen,maps,rw,central,53,60.0
omen,maps,rw,central,54,61.0
omen,maps,rw,central,55,61.0
omen,maps,rw,central,56,60.0
omen,maps,rw,central,57,61.0
omen,maps,rw,central,58,61.0
omen,maps,rw,central,59,59.0
omen,maps,rw,central,6,59.0
omen,maps,rw,central,60,60.0
omen,maps,rw,central,61,60.0
omen,maps,rw,central,62,61.0
omen,maps,rw,central,63,61.0
omen,maps,rw,central,64,61.0
omen,maps,rw,central,7,61.0
omen,maps,rw,central,8,60.0
omen,maps,rw,central,9,60.0
omen,maps,rw,shard,1,41.0
omen,maps,rw,shard,10,43.0
omen,maps,rw,shard,11,44.0
omen,maps,rw,shard,12,43.0
